cornellnumber,FatherPed,MotherPed,Population
F07F284,ped20,ped20,F207
F07F285,ped20,ped20,F207
F07F286,ped36,ped36,F207
F07F287,ped36,ped36,F207
F07F288,ped36,ped36,F207
F07F289,ped36,ped36,F207
F07F290,ped32,ped32,F207
F07F291,ped32,ped32,F207
F07F292,ped32,ped32,F207
F07F293,ped32,ped32,F207
F07F294,ped32,ped32,F207
F07F295,ped32,ped32,F207
F07F296,ped32,ped32,F207
F07F297,ped28,ped28,F207
F07F298,ped28,ped28,F207
F07F299,ped28,ped28,F207
F07F300,ped28,ped28,F207
F07F301,ped29,ped29,F207
F07F302,ped29,ped29,F207
F07F303,ped29,ped29,F207
F07F304,ped29,ped29,F207
F07F305,ped29,ped29,F207
F07F306,ped29,ped29,F207
F07F307,ped29,ped29,F207
F07F457,ped24,ped24,F207
F07F460,ped22,ped22,F207
F08F288,,,F207
