'cornellnumber','NameQTL','FatherQTL','MotherQTL','Population','name','generationdescription','number','mom','dad','sex_male.1_'
'F06F487',F06F487F207F2ped33,F04F056F207F2ped33,F04F645F207F2ped33,F207,Eri_06,F1,372,382,383,2
'F07F282',F07F282,F06F478F207F2ped33,F06F487F207F2ped33,F207,1m,F2,373,371,372,1
'F07F281',F07F281,F06F478F207F2ped33,F06F487F207F2ped33,F207,2f,F2,374,371,372,2
'F07F280',F07F280,F06F478F207F2ped33,F06F487F207F2ped33,F207,3m,F2,375,371,372,1
'F07F279',F07F279,F06F478F207F2ped33,F06F487F207F2ped33,F207,4f,F2,376,371,372,2
'F07F278',F07F278,F06F478F207F2ped33,F06F487F207F2ped33,F207,5f,F2,377,371,372,2
'F07F277',F07F277,F06F478F207F2ped33,F06F487F207F2ped33,F207,6f,F2,378,371,372,2
'F07F276',F07F276,F06F478F207F2ped33,F06F487F207F2ped33,F207,7m,F2,379,371,372,1
'F03F169',F03F169F207F2ped33,0,0,F207,6811(03),aggr,380,0,0,1
'F04F656',F04F656F207F2ped33,0,0,F207,Schuya_04,tame,381,0,0,2
'F04F056',F04F056F207F2ped33,0,0,F207,6903(04),aggr,382,0,0,1
'F04F645',F04F645F207F2ped33,0,0,F207,Eola_04,tame,383,0,0,2
'F05F320',F05F320F207F2ped34,F05F594F207F2ped34,F05F511F207F2ped34,F207,Djonrid_05,F1,384,391,392,1
'F05F335',F05F335F207F2ped34,F05F439F207F2ped34,F05F500F207F2ped34,F207,Evridika_05,F1,385,393,394,2
'F07F138',F07F138,F05F320F207F2ped34,F05F335F207F2ped34,F207,1f,F2,386,384,385,2
'F07F139',F07F139,F05F320F207F2ped34,F05F335F207F2ped34,F207,2f,F2,387,384,385,2
'F07F140',F07F140,F05F320F207F2ped34,F05F335F207F2ped34,F207,3m,F2,388,384,385,1
'F07F141',F07F141,F05F320F207F2ped34,F05F335F207F2ped34,F207,4m,F2,389,384,385,1
'F07F142',F07F142,F05F320F207F2ped34,F05F335F207F2ped34,F207,5f,F2,390,384,385,2
'F05F594',F05F594F207F2ped34,0,0,F207,6711(02),aggr,391,0,0,1
'F05F511',F05F511F207F2ped34,0,0,F207,Dezhi_03,tame,392,0,0,2
'F05F439',F05F439F207F2ped34,0,0,F207,6817(03),aggr,393,0,0,1
'F05F500',F05F500F207F2ped34,0,0,F207,Ebi_03,tame,394,0,0,2
'F06F486',F06F486F207F2ped35,F04F056F207F2ped35,F04F645F207F2ped35,F207,Eon_06,F1,395,403,404,1
'F05F312',F05F312F207F2ped35,F05F437F207F2ped35,F05F506F207F2ped35,F207,Luidgi_05,F1,396,405,406,2
'F07F159',F07F159,F06F486F207F2ped35,F05F312F207F2ped35,F207,1m,F2,397,395,396,1
'F07F160',F07F160,F06F486F207F2ped35,F05F312F207F2ped35,F207,2f,F2,398,395,396,2
'F07F161',F07F161,F06F486F207F2ped35,F05F312F207F2ped35,F207,3m,F2,399,395,396,1
'F07F162',F07F162,F06F486F207F2ped35,F05F312F207F2ped35,F207,4f,F2,400,395,396,2
'F07F163',F07F163,F06F486F207F2ped35,F05F312F207F2ped35,F207,5m,F2,401,395,396,1
'F07F164',F07F164,F06F486F207F2ped35,F05F312F207F2ped35,F207,6m,F2,402,395,396,1
'F04F056',F04F056F207F2ped35,0,0,F207,6903(04),aggr,403,0,0,1
'F04F645',F04F645F207F2ped35,0,0,F207,Eola_04,tame,404,0,0,2
'F05F437',F05F437F207F2ped35,0,0,F207,6819(03),aggr,405,0,0,1
'F05F506',F05F506F207F2ped35,0,0,F207,Lara_03,tame,406,0,0,2
'F05F328',F05F328F207F2ped36,F05F439F207F2ped36,F05F505F207F2ped36,F207,Dastin_05,F1,407,413,414,1
'F05F090',F05F090F207F2ped36,F03S207F207F2ped36,F03S134F207F2ped36,F207,Pavlina_04,F1,408,415,416,2
'F07F289',F07F289,F05F328F207F2ped36,F05F090F207F2ped36,F207,1m,F2,409,407,408,1
'F07F288',F07F288,F05F328F207F2ped36,F05F090F207F2ped36,F207,2m,F2,410,407,408,1
'F07F287',F07F287,F05F328F207F2ped36,F05F090F207F2ped36,F207,3m,F2,411,407,408,1
'F07F286',F07F286,F05F328F207F2ped36,F05F090F207F2ped36,F207,4f,F2,412,407,408,2
'F05F439',F05F439F207F2ped36,0,0,F207,6817(03),aggr,413,0,0,1
'F05F505',F05F505F207F2ped36,0,0,F207,Dorna_03,tame,414,0,0,2
'F03S207',F03S207F207F2ped36,0,0,F207,6555,aggr,415,0,0,1
'F03S134',F03S134F207F2ped36,0,0,F207,Plani,tame,416,0,0,2
'F06F479',F06F479F207F2ped37,F03F169F207F2ped37,F04F656F207F2ped37,F207,Schelf_06,F1,417,424,425,1
'ped37dam',ped37damF207F2ped37,F04F014F207F2ped37,F03F340F207F2ped37,F207,(F06F458)Publika_06,F1,418,426,427,2
'F07F192',F07F192,F06F479F207F2ped37,ped37damF207F2ped37,F207,1f,F2,419,417,418,2
'F07F193',F07F193,F06F479F207F2ped37,ped37damF207F2ped37,F207,2m,F2,420,417,418,1
'F07F194',F07F194,F06F479F207F2ped37,ped37damF207F2ped37,F207,3f,F2,421,417,418,2
'F07F195',F07F195,F06F479F207F2ped37,ped37damF207F2ped37,F207,4m,F2,422,417,418,1
'F07F196',F07F196,F06F479F207F2ped37,ped37damF207F2ped37,F207,5f,F2,423,417,418,2
'F03F169',F03F169F207F2ped37,0,0,F207,6811(03),aggr,424,0,0,1
'F04F656',F04F656F207F2ped37,0,0,F207,Schuya_04,tame,425,0,0,2
'F04F014',F04F014F207F2ped37,0,0,F207,(F05F587)Altay_04,?????tame,426,0,0,1
'F03F340',F03F340F207F2ped37,0,0,F207,(F05F479)6866(03),?????aggr,427,0,0,2
'F06F469',F06F469F207F2ped38,F05F439F207F2ped38,F05F511F207F2ped38,F207,Dulut_06,F1,428,434,435,1
'F06F875',F06F875F207F2ped38,F03F355F207F2ped38,F04F137F207F2ped38,F207,Rabinya_06,F1,429,436,437,2
'F07F168',F07F168,F06F469F207F2ped38,F06F875F207F2ped38,F207,1f,F2,430,428,429,2
'F07F169',F07F169,F06F469F207F2ped38,F06F875F207F2ped38,F207,2f,F2,431,428,429,2
'F07F170',F07F170,F06F469F207F2ped38,F06F875F207F2ped38,F207,3m,F2,432,428,429,1
'F07F171',F07F171,F06F469F207F2ped38,F06F875F207F2ped38,F207,4m,F2,433,428,429,1
'F05F439',F05F439F207F2ped38,0,0,F207,6817(03),aggr,434,0,0,1
'F05F511',F05F511F207F2ped38,0,0,F207,Dezhi_03,tame,435,0,0,2
'F03F355',F03F355F207F2ped38,0,0,F207,Pinkerton_03,tame,436,0,0,1
'F04F137',F04F137F207F2ped38,0,0,F207,6970(04),aggr,437,0,0,2
'F05F558',F05F558F207F2ped39,F207F2ped39,F207F2ped39,F207,Asirius_05,F1,438,445,446,1
'F06F455',F06F455F207F2ped39,F03F352F207F2ped39,F04F047F207F2ped39,F207,Reya_06,F1,439,447,448,2
'F07F149',F07F149,F05F558F207F2ped39,F06F455F207F2ped39,F207,1m,F2,440,438,439,1
'F07F150',F07F150,F05F558F207F2ped39,F06F455F207F2ped39,F207,2m,F2,441,438,439,1
'F07F151',F07F151,F05F558F207F2ped39,F06F455F207F2ped39,F207,3f,F2,442,438,439,2
'F07F152',F07F152,F05F558F207F2ped39,F06F455F207F2ped39,F207,4f,F2,443,438,439,2
'F07F153',F07F153,F05F558F207F2ped39,F06F455F207F2ped39,F207,5m,F2,444,438,439,1
'00F206F',0,0,0,F207,0,0,445,0,0,1
'000F206',F207F2ped39,0,0,F207,0,0,446,0,0,2
'F03F352',F03F352F207F2ped39,0,0,F207,Aslan_03,tame,447,0,0,1
'F04F047',F04F047F207F2ped39,0,0,F207,6942(04),aggr,448,0,0,2
'F05F564',F05F564F206F2ped4,F05F439F206F2ped4,F05F590F206F2ped4,F206,Avsey_05,F1,36,39,40,1
'F05F579',F05F579F206F2ped4,F05F587F206F2ped4,F05F592F206F2ped4,F206,Teya_05,F1,37,41,42,2
'F06F547',F06F547,F05F564F206F2ped4,F05F579F206F2ped4,F206,1f,F2,38,36,37,2
'F05F439',F05F439F206F2ped4,0,0,F206,6817(03),aggr,39,0,0,1
'F05F590',F05F590F206F2ped4,0,0,F206,Aglaida_04,tame,40,0,0,2
'F05F587',F05F587F206F2ped4,0,0,F206,Altay_04,tame,41,0,0,1
'F05F592',F05F592F206F2ped4,0,0,F206,6926(04),aggr,42,0,0,2
'F06F451',F06F451F207F2ped40,F03F352F207F2ped40,F04F047F207F2ped40,F207,Red_06,F1,449,452,453,1
'F06F874',F06F874F207F2ped40,F03F355F207F2ped40,F04F137F207F2ped40,F207,Rifma_06,F1,450,454,455,2
'F07F204',F07F204,F06F451F207F2ped40,F06F874F207F2ped40,F207,1f,F2,451,449,450,2
'F03F352',F03F352F207F2ped40,0,0,F207,Aslan_03,tame,452,0,0,1
'F04F047',F04F047F207F2ped40,0,0,F207,6942(04),aggr,453,0,0,2
'F03F355',F03F355F207F2ped40,0,0,F207,Pinkerton_03,tame,454,0,0,1
'F04F137',F04F137F207F2ped40,0,0,F207,6970(04),aggr,455,0,0,2
'F05F309',F05F309F207F2ped41,F05F532F207F2ped41,F05F484F207F2ped41,F207,Timur_05,F1,456,461,462,1
'F06F876',F06F876F207F2ped41,F03F355F207F2ped41,F04F137F207F2ped41,F207,Riga_06,F1,457,463,464,2
'F07F205',F07F205,F05F309F207F2ped41,F06F876F207F2ped41,F207,1m,F2,458,456,457,1
