cornell_number,mother,father
F07F178,F05F011,F05F336
F07F179,F05F011,F05F336
F07F180,F05F011,F05F336
F07F181,F05F011,F05F336
F05F439,NULL,NULL
F05F500,NULL,NULL
F03S173,NULL,NULL
F03S136,NULL,NULL
F05F560,F05F590,F05F439
F05F332,F05F539,F05F436
F06F519,F05F332,F05F560
F06F518,F05F332,F05F560
F06F517,F05F332,F05F560
F06F516,F05F332,F05F560
F06F515,F05F332,F05F560
F06F514,F05F332,F05F560
F06F513,F05F332,F05F560
F05F439,NULL,NULL
F05F590,NULL,NULL
F05F436,NULL,NULL
F05F539,NULL,NULL
F05F560,F05F590,F05F439
F05F301,F05F492,0F206F2
F06F535,F05F301,F05F560
F06F534,F05F301,F05F560
F06F533,F05F301,F05F560
F06F532,F05F301,F05F560
F06F531,F05F301,F05F560
F06F530,F05F301,F05F560
F05F439,NULL,NULL
F05F590,NULL,NULL
0F206F2,NULL,NULL
F05F492,NULL,NULL
ped8sire,F05F512,F05F437
F05F335,F05F500,F05F439
F06F502,F05F335,ped8sire
F06F501,F05F335,ped8sire
F06F500,F05F335,ped8sire
F06F499,F05F335,ped8sire
F06F498,F05F335,ped8sire
F06F497,F05F335,ped8sire
F05F437,NULL,NULL
F05F512,NULL,NULL
F05F439,NULL,NULL
F05F500,NULL,NULL
F05F558,000F206,00F206F
F05F325,F05F505,0F206F2
F06F508,F05F325,F05F558
F06F507,F05F325,F05F558
F06F506,F05F325,F05F558
F06F505,F05F325,F05F558
F06F504,F05F325,F05F558
F06F503,F05F325,F05F558
00F206F,NULL,NULL
000F206,NULL,NULL
0F206F2,NULL,NULL
F05F505,NULL,NULL
