"cornellnumber","name","generationdescription","sex_male.1_","mother","father","notes"
"F07F139","2f","F2","2","F05F335","F05F320",NULL
"F07F140","3m","F2","1","F05F335","F05F320",NULL
"F07F141","4m","F2","1","F05F335","F05F320",NULL
"F07F142","5f","F2","2","F05F335","F05F320",NULL
"F07F143","1m","F2","1","F06F485","F06F469",NULL
"F07F144","2m","F2","1","F06F485","F06F469",NULL
"F07F145","3f","F2","2","F06F485","F06F469",NULL
"F07F146","4m","F2","1","F06F485","F06F469",NULL
"F07F147","5m","F2","1","F06F485","F06F469",NULL
"F07F148","1m","F2","1","F05F032","F05F560",NULL
"F07F149","1m","F2","1","F06F455","F05F558",NULL
"F07F150","2m","F2","1","F06F455","F05F558",NULL
"F07F151","3f","F2","2","F06F455","F05F558",NULL
"F07F152","4f","F2","2","F06F455","F05F558",NULL
"F07F153","5m","F2","1","F06F455","F05F558",NULL
"F07F154","1m","F2","1","F05F020","F05F320",NULL
"F07F155","2f","F2","2","F05F020","F05F320",NULL
"F07F156","3f","F2","2","F05F020","F05F320",NULL
"F07F157","4m","F2","1","F05F020","F05F320",NULL
"F07F158","5f","F2","2","F05F020","F05F320",NULL
"F07F159","1m","F2","1","F05F312","F06F486",NULL
"F07F160","2f","F2","2","F05F312","F06F486",NULL
"F07F161","3m","F2","1","F05F312","F06F486",NULL
"F07F162","4f","F2","2","F05F312","F06F486",NULL
"F07F163","5m","F2","1","F05F312","F06F486",NULL
"F07F164","6m","F2","1","F05F312","F06F486",NULL
"F07F165","1m","F2","1","F06F452","F05F334",NULL
"F07F166","2m","F2","1","F06F452","F05F334",NULL
"F07F167","3f","F2","2","F06F452","F05F334",NULL
"F07F168","1f","F2","2","F06F875","F06F469",NULL
"F07F169","2f","F2","2","F06F875","F06F469",NULL
"F07F170","3m","F2","1","F06F875","F06F469",NULL
"F07F171","4m","F2","1","F06F875","F06F469",NULL
"F07F172","1m","F2","1","F05F302","F06F486",NULL
"F07F173","2m","F2","1","F05F302","F06F486",NULL
"F07F174","1f","F2","2","F05F011","F05F336",NULL
"F07F175","2f","F2","2","F05F011","F05F336",NULL
"F07F176","3m","F2","1","F05F011","F05F336",NULL
"F07F177","4m","F2","1","F05F011","F05F336",NULL
"F07F178","5m","F2","1","F05F011","F05F336",NULL
"F07F179","6m","F2","1","F05F011","F05F336",NULL
"F07F180","7m","F2","1","F05F011","F05F336",NULL
"F07F181","8m","F2","1","F05F011","F05F336",NULL
"F07F182","1f","F2","2","F05F332","F05F329",NULL
"F07F183","2f","F2","2","F05F332","F05F329",NULL
"F07F184","3f","F2","2","F05F332","F05F329",NULL
"F07F185","1f","F2","2","F06F472","F06F465",NULL
"F07F186","2m","F2","1","F06F472","F06F465",NULL
"F07F187","3m","F2","1","F06F472","F06F465",NULL
"F07F188","4f","F2","2","F06F472","F06F465",NULL
"F07F189","5f","F2","2","F06F472","F06F465",NULL
"F07F190","6m","F2","1","F06F472","F06F465",NULL
"F07F191","7f","F2","2","F06F472","F06F465",NULL
"F07F192","1f","F2","2","ped37dam","F06F479",NULL
"F07F193","2m","F2","1","ped37dam","F06F479",NULL
"F07F194","3f","F2","2","ped37dam","F06F479",NULL
"F07F195","4m","F2","1","ped37dam","F06F479",NULL
"F07F196","5f","F2","2","ped37dam","F06F479",NULL
"F07F198","2f","F2","2","F07F460","F05F336",NULL
"F07F199","3f","F2","2","F07F460","F05F336",NULL
"F07F200","4m","F2","1","F07F460","F05F336",NULL
"F07F201","1f","F2","2","F05F580","F06F881",NULL
"F07F202","2m","F2","1","F05F580","F06F881",NULL
"F07F203","3m","F2","1","F05F580","F06F881",NULL
"F07F204","1f","F2","2","F06F874","F06F451",NULL
"F07F205","1m","F2","1","F06F876","F05F309",NULL
"F07F206","2f","F2","2","F06F876","F05F309",NULL
"F07F207","3f","F2","2","F06F876","F05F309",NULL
"F07F208","1f","F2","2","F05F034","F06F881",NULL
"F07F209","2m","F2","1","F05F034","F06F881",NULL
"F07F210","3f","F2","2","F05F034","F06F881",NULL
"F07F211","4m","F2","1","F05F034","F06F881",NULL
"F07F212","5m","F2","1","F05F034","F06F881",NULL
"F07F215","1m","F2","1","F05F567","F06F460",NULL
"F07F216","2f","F2","2","F05F567","F06F460",NULL
"F07F217","3f","F2","2","F05F567","F06F460",NULL
"F07F218","4f","F2","2","F05F567","F06F460",NULL
"F07F219","5f","F2","2","F05F567","F06F460",NULL
"F07F220","8f","F2","2","F06F458","F05F334",NULL
"F07F221","7m","F2","1","F06F458","F05F334",NULL
"F07F222","6m","F2","1","F06F458","F05F334",NULL
"F07F223","5m","F2","1","F06F458","F05F334",NULL
"F07F224","4m","F2","1","F06F458","F05F334",NULL
"F07F225","3m","F2","1","F06F458","F05F334",NULL
"F07F226","2f","F2","2","F06F458","F05F334",NULL
"F07F227","1f","F2","2","F06F458","F05F334",NULL
"F07F228","2m","F2","1","F05F307","F06F490",NULL
"F07F229","1f","F2","2","F05F307","F06F490",NULL
"F07F237","8f","F2","2","F05F565","F06F883",NULL
"F07F238","7f","F2","2","F05F565","F06F883",NULL
"F07F239","6f","F2","2","F05F565","F06F883",NULL
"F07F240","5m","F2","1","F05F565","F06F883",NULL
"F07F241","4f","F2","2","F05F565","F06F883",NULL
"F07F242","3f","F2","2","F05F565","F06F883",NULL
"F07F243","2f","F2","2","F05F565","F06F883",NULL
"F07F244","1m","F2","1","F05F565","F06F883",NULL
"F07F245","7m","F2","1","F07F457","F06F465",NULL
"F07F246","6f","F2","2","F07F457","F06F465",NULL
"F07F247","5m","F2","1","F07F457","F06F465",NULL
"F07F248","4f","F2","2","F07F457","F06F465",NULL
"F07F249","3m","F2","1","F07F457","F06F465",NULL
"F07F250","2m","F2","1","F07F457","F06F465",NULL
"F07F251","1f","F2","2","F07F457","F06F465",NULL
"F07F252","8f","F2","2","F06F483","F05F316",NULL
"F07F253","7f","F2","2","F06F483","F05F316",NULL
"F07F254","6f","F2","2","F06F483","F05F316",NULL
"F07F255","5m","F2","1","F06F483","F05F316",NULL
"F07F256","4f","F2","2","F06F483","F05F316",NULL
"F07F257","3f","F2","2","F06F483","F05F316",NULL
"F07F258","2f","F2","2","F06F483","F05F316",NULL
"F07F259","1f","F2","2","F06F483","F05F316",NULL
"F07F260","6f","F2","2","F06F880","F06F456",NULL
"F07F261","5m","F2","1","F06F880","F06F456",NULL
"F07F262","4m","F2","1","F06F880","F06F456",NULL
"F07F263","3f","F2","2","F06F880","F06F456",NULL
"F07F264","2m","F2","1","F06F880","F06F456",NULL
"F07F265","1m","F2","1","F06F880","F06F456",NULL
"F07F266","2m","F2","1","F05F303","F05F334",NULL
"F07F267","1m","F2","1","F05F303","F05F334",NULL
"F07F268","1m","F2","1","F05F579","F06F471",NULL
"F07F269","7m","F2","1","F05F299","F06F479",NULL
"F07F270","6f","F2","2","F05F299","F06F479",NULL
"F07F271","5m","F2","1","F05F299","F06F479",NULL
"F07F272","4m","F2","1","F05F299","F06F479",NULL
"F07F273","3m","F2","1","F05F299","F06F479",NULL
"F07F274","2f","F2","2","F05F299","F06F479",NULL
"F07F275","1f","F2","2","F05F299","F06F479",NULL
"F07F276","7m","F2","1","F06F487","F06F478",NULL
"F07F277","6f","F2","2","F06F487","F06F478",NULL
"F07F278","5f","F2","2","F06F487","F06F478",NULL
"F07F279","4f","F2","2","F06F487","F06F478",NULL
"F07F280","3m","F2","1","F06F487","F06F478",NULL
"F07F281","2f","F2","2","F06F487","F06F478",NULL
"F07F282","1m","F2","1","F06F487","F06F478",NULL
"F07F283","3f","F2","2","F05F562","F06F465",NULL
"F07F284","2m","F2","1","F05F562","F06F465",NULL
"F07F285","1f","F2","2","F05F562","F06F465",NULL
"F07F286","4f","F2","2","F05F090","F05F328",NULL
"F07F287","3m","F2","1","F05F090","F05F328",NULL
"F07F288","2m","F2","1","F05F090","F05F328",NULL
"F07F289","1m","F2","1","F05F090","F05F328",NULL
"F07F290","8f","F2","2","F06F489","F06F478",NULL
"F07F291","6f","F2","2","F06F489","F06F478",NULL
"F07F292","5m","F2","1","F06F489","F06F478",NULL
"F07F293","4m","F2","1","F06F489","F06F478",NULL
"F07F294","3m","F2","1","F06F489","F06F478",NULL
"F07F295","2m","F2","1","F06F489","F06F478",NULL
"F07F296","1f","F2","2","F06F489","F06F478",NULL
"F07F297","4m","F2","1","F05F325","F05F334",NULL
"F07F298","3m","F2","1","F05F325","F05F334",NULL
"F07F299","2f","F2","2","F05F325","F05F334",NULL
"F07F300","1m","F2","1","F05F325","F05F334",NULL
"F07F301","7m","F2","1","F05F326","F05F320",NULL
"F07F302","6m","F2","1","F05F326","F05F320",NULL
"F07F303","5f","F2","2","F05F326","F05F320",NULL
"F07F304","4m","F2","1","F05F326","F05F320",NULL
"F07F305","3m","F2","1","F05F326","F05F320",NULL
"F07F306","2f","F2","2","F05F326","F05F320",NULL
"F07F307","1m","F2","1","F05F326","F05F320",NULL
"F07F457","Anhel_06","F1","2","F05F591","F03F169",NULL
"F07F460","Almadi_06","F1","2","F05F590","F05F437",NULL
"F08F288","6878(03)","aggr","2",NULL,NULL,NULL
"ped37dam","(F06F458)Publika_06","F1","2","F03F340","F04F014",NULL
"ped8sire","(F05F557)Apalacha_05","F1","1","F05F512","F05F437",NULL
