1,,dogchr,dogloc,foxchr,foxloc
VV1900,,21,48585452,VVU11.1rev,2273171
FH2233,8.5,21,45588235,VVU11.1rev,5270388
REN118B15,34.8,21,35782254,VVU11.1rev,15076369
FH2603,41.8,21,17073289,VVU11.1rev,33785334
FH2508,43.5,23,3223219,VVU11.2pos,54081842
FH2626,46.3,23,16205678,VVU11.2pos,67064301
FH3609,59.6,23,32859470,VVU11.2pos,83718093
AHTH180,65.7,23,38815432,VVU11.2pos,89674055
VV1127,,11,72699686,VVU12.1rev,1689411
VV1118,15.2,11,65820829,VVU12.1rev,8568268
VV1112,24.6,11,60787531,VVU12.1rev,13601566
FH2019,33.7,11,53043434,VVU12.1rev,21345663
FH3393,37.8,11,43601154,VVU12.1rev,30787943
REN245N06,43.1,11,36235623,VVU12.1rev,38153474
CM11.33,46.2,11,30168962,VVU12.1rev,44220135
CM11.27,49.6,11,24310303,VVU12.1rev,50078794
CM11.15,52,11,12183946,VVU12.1rev,62205151
CM11.13,52.3,11,10379361,VVU12.1rev,64009736
FH4031,52.6,11,9407739,VVU12.1rev,64981358
REN172L08,52.61,35,22881069,VVU12.2rev,78033027
REN94K23,52.62,35,20517416,VVU12.2rev,80396680
REN01G01,53.22,35,11181711,VVU12.2rev,89732385
CM35.13d,53.32,35,10152184,VVU12.2rev,90761912
CM35.11b,53.33,35,8840864,VVU12.2rev,92073232
CM35.9a,54.23,35,6731209,VVU12.2rev,94182887
CM35.7a,54.93,35,4081890,VVU12.2rev,96832206
CM35.4a,55.03,35,1337093,VVU12.2rev,99577003
CM5.34,55.04,5,432065,VVU12.3pos,101346161
CM5.37,55.94,5,718743,VVU12.3pos,101632839
CM5.41,56.84,5,1173738,VVU12.3pos,102087834
CM5.60,57.64,5,3071264,VVU12.3pos,103985360
CM5.63,57.94,5,3357980,VVU12.3pos,104272076
FH3928,61.74,5,6385638,VVU12.3pos,107299734
FH3004,65.64,5,11917912,VVU12.3pos,112832008
FH3320,67.04,5,13804956,VVU12.3pos,114719052
DTR05.8,77.04,5,37368871,VVU12.3pos,138282967
CM5.41b,77.74,5,37964993,VVU12.3pos,138879089
FH3278,83.44,5,50597884,VVU12.3pos,151511980
FH3978,83.64,5,51424336,VVU12.3pos,152338432
CM5.627,93.74,5,59716269,VVU12.3pos,160630365
REN175P10,97.34,5,65377955,VVU12.3pos,166292051
CM5.701,100.14,5,67142306,VVU12.3pos,168056402
CM5.761,109.74,5,73123178,VVU12.3pos,174037274
FH3089,112.54,5,74481750,VVU12.3pos,175395846
CM5.832,115.64,5,80268118,VVU12.3pos,181182214
CM5.894,125.24,5,86431062,VVU12.3pos,187345158
DTR13.6,,13,25138446,VVU13.1rev,17294533
FH3619,10.9,13,19840696,VVU13.1rev,22592283
FH2328,24.3,29,16721650,VVU13.2rev,67556567
FH2581,37.1,7,67909819,VVU13.3rev,97342930
REN143L20,38.9,7,63535347,VVU13.3rev,101717402
REN149P06,46,7,46246107,VVU13.3rev,119006642
FH2174,51.4,7,33981803,VVU13.3rev,131270946
REN162C04,57.3,7,26626233,VVU13.3rev,138626516
FH3972,77.6,7,9990768,VVU13.3rev,155261981
CM24.48,,24,45286599,VVU14.1rev,2412180
FH3287,12.5,24,41521261,VVU14.1rev,6177518
CM24.36b,34.3,24,33468258,VVU14.1rev,14230521
FH2261,51.8,24,18333644,VVU14.1rev,29365135
REN161A12,54.2,3,10308802,VVU14.2pos,58007581
FH3396,54.6,3,1677015,VVU14.2pos,49375794
FH2168,57.1,24,8083995,VVU14.1rev,39614784
FH2541,61.1,3,38711494,VVU14.2pos,86410273
FH3464,72.7,3,53801126,VVU14.2pos,101499905
REN260I04,83.3,3,63720234,VVU14.2pos,111419013
PEZ12,86.5,3,67092245,VVU14.2pos,114791024
FH2107,102.7,3,81007774,VVU14.2pos,128706553
